phylum,order,family,genus,val_int,val_str,from_user,to_user,user_state,race,breed,division,section,population,cts
server_event,user_turn_completed,game_screen,ludo,5731,CASH,Y15bPrZmGADQTnwF,"{""ZL_rrCRuqDFACGpN"":""non_vip"",""Y15bPrZmGADQTnwF"":""non_vip""}",0,"{""respins_left"":""0"",""dice_score"":""0"",""turnTimeWhenPawnMoveReqReceived"":""0"",""pawnNotMovableReason"":""unknown"",""turn_play_mode"":""bot"",""pawnsMovable"":""yes"",""ludoBoardData"":""{\""upd\"":{\""ZL_rrCRuqDFACGpN\"":{\""pos\"":[27,35,48,1],\""score\"":[0,8,21,26],\""state\"":[\""NONE\"",\""NONE\"",\""NONE\"",\""NONE\""],\""safe\"":[true,true,true,true],\""totScore\"":55},\""Y15bPrZmGADQTnwF\"":{\""pos\"":[1,9,22,27],\""score\"":[0,8,21,26],\""state\"":[\""NONE\"",\""NONE\"",\""NONE\"",\""NONE\""],\""safe\"":[true,true,true,true],\""totScore\"":55}}}"",""turnTimeWhenPawnMovedRespSent"":""0"",""tournament_id"":""ZMcI79oK51VNRMmu""}","{""upd"":{""ZL_rrCRuqDFACGpN"":{""pos"":[27,35,48,1],""score"":[0,8,21,26],""state"":[""NONE"",""NONE"",""NONE"",""NONE""],""safe"":[true,true,true,true],""totScore"":55},""Y15bPrZmGADQTnwF"":{""pos"":[1,9,22,27],""score"":[0,8,21,26],""state"":[""NONE"",""NONE"",""NONE"",""NONE""],""safe"":[true,true,true,true],""totScore"":55}}}",LUDO-a540c8f1-78ca-46da-8abd-faf6fa4a68da,"{""ZL_rrCRuqDFACGpN"":""55"",""Y15bPrZmGADQTnwF"":""55""}",5500,1690767721661
server_event,user_turn_initiated,game_screen,ludo,,CASH,Y15bPrZmGADQTnwF,"{""ZL_rrCRuqDFACGpN"":""non_vip"",""Y15bPrZmGADQTnwF"":""non_vip""}",0,,,LUDO-a540c8f1-78ca-46da-8abd-faf6fa4a68da,"{""ZL_rrCRuqDFACGpN"":""55"",""Y15bPrZmGADQTnwF"":""55""}",5500,1690767721661
client_bg_event,game_started_request,,ludo,,cash,Y15bPrZmGADQTnwF,"{""ZL_rrCRuqDFACGpN"":""non_vip""}",3,,,LUDO-a540c8f1-78ca-46da-8abd-faf6fa4a68da,"{""ZL_rrCRuqDFACGpN"":""non_vip""}",,1690767723849
client_bg_event,player_ready_sent,ServerCommunication,ludo,,cash,Y15bPrZmGADQTnwF,"{""ZL_rrCRuqDFACGpN"":""non_vip""}",3,,,LUDO-a540c8f1-78ca-46da-8abd-faf6fa4a68da,"{""ZL_rrCRuqDFACGpN"":0.0}",0,1690767723854
client_bg_event,game_start_received,ServerCommunication,ludo,,cash,Y15bPrZmGADQTnwF,"{""ZL_rrCRuqDFACGpN"":""non_vip""}",3,,,LUDO-a540c8f1-78ca-46da-8abd-faf6fa4a68da,"{""ZL_rrCRuqDFACGpN"":0.0}",0,1690767724059
client_bg_event,game_started,game_screen,ludo,,cash,Y15bPrZmGADQTnwF,"{""ZL_rrCRuqDFACGpN"":""non_vip""}",3,,ZMcI79oK51VNRMmu,LUDO-a540c8f1-78ca-46da-8abd-faf6fa4a68da,"{""ZL_rrCRuqDFACGpN"":0.0}",0,1690767724276
client_bg_event,game_started_called,,ludo,,cash,Y15bPrZmGADQTnwF,"{""ZL_rrCRuqDFACGpN"":""non_vip""}",3,,,LUDO-a540c8f1-78ca-46da-8abd-faf6fa4a68da,"{""ZL_rrCRuqDFACGpN"":""non_vip""}",,1690767724283
client_bg_event,game_started_completed,,ludo,,cash,Y15bPrZmGADQTnwF,"{""ZL_rrCRuqDFACGpN"":""non_vip""}",3,,,LUDO-a540c8f1-78ca-46da-8abd-faf6fa4a68da,"{""ZL_rrCRuqDFACGpN"":""non_vip""}",,1690767724287
client_bg_event,game_fps_matchmaking,,ludo,,cash,Y15bPrZmGADQTnwF,"{""ZL_rrCRuqDFACGpN"":""non_vip""}",3,,48.08715,LUDO-a540c8f1-78ca-46da-8abd-faf6fa4a68da,"{""ZL_rrCRuqDFACGpN"":""non_vip""}",,1690767724289
client_ui_render,game_screen_rendered,game_screen,ludo,,cash,Y15bPrZmGADQTnwF,"{""ZL_rrCRuqDFACGpN"":""non_vip""}",3,BLUE,ZMcI79oK51VNRMmu,LUDO-a540c8f1-78ca-46da-8abd-faf6fa4a68da,"{""ZL_rrCRuqDFACGpN"":55.0}",55,1690767724292
client_bg_event,screen_render_sent,ServerCommunication,ludo,,cash,Y15bPrZmGADQTnwF,"{""ZL_rrCRuqDFACGpN"":""non_vip""}",3,,,LUDO-a540c8f1-78ca-46da-8abd-faf6fa4a68da,"{""ZL_rrCRuqDFACGpN"":55.0}",55,1690767724295
client_bg_event,unity_session_end,PlayAgainButtonClick,ludo,,cash,Y15bPrZmGADQTnwF,"{""ZL_rrCRuqDFACGpN"":""non_vip""}",3,,,LUDO-a540c8f1-78ca-46da-8abd-faf6fa4a68da,"{""ZL_rrCRuqDFACGpN"":55.0}",55,1690767724311
client_bg_event,game_fps_game,,ludo,,cash,Y15bPrZmGADQTnwF,"{""ZL_rrCRuqDFACGpN"":""non_vip""}",3,,52.65247,LUDO-a540c8f1-78ca-46da-8abd-faf6fa4a68da,"{""ZL_rrCRuqDFACGpN"":""non_vip""}",,1690767724314
client_bg_event,game_resumed,game_screen,ludo,0,cash,Y15bPrZmGADQTnwF,"{""ZL_rrCRuqDFACGpN"":""non_vip""}",3,App_Minimize,ZMcI79oK51VNRMmu,LUDO-a540c8f1-78ca-46da-8abd-faf6fa4a68da,"{""ZL_rrCRuqDFACGpN"":55.0}",55,1690767724346
client_bg_event,game_match_making_resumed,focus,ludo,2147483647,cash,Y15bPrZmGADQTnwF,"{""ZL_rrCRuqDFACGpN"":""non_vip""}",3,,,LUDO-a540c8f1-78ca-46da-8abd-faf6fa4a68da,"{""ZL_rrCRuqDFACGpN"":55.0}",55,1690767724349
client_bg_event,check_dev_option_enabled,FALSE,ludo,,cash,Y15bPrZmGADQTnwF,"{""ZL_rrCRuqDFACGpN"":""non_vip""}",3,,,LUDO-a540c8f1-78ca-46da-8abd-faf6fa4a68da,"{""ZL_rrCRuqDFACGpN"":55.0}",55,1690767724366
client_bg_event,check_mag_option_enabled,FALSE,ludo,,cash,Y15bPrZmGADQTnwF,"{""ZL_rrCRuqDFACGpN"":""non_vip""}",3,,,LUDO-a540c8f1-78ca-46da-8abd-faf6fa4a68da,"{""ZL_rrCRuqDFACGpN"":55.0}",55,1690767724369
server_event,user_turn_completed,game_screen,ludo,8200,CASH,Y15bPrZmGADQTnwF,"{""ZL_rrCRuqDFACGpN"":""non_vip"",""Y15bPrZmGADQTnwF"":""non_vip""}",0,"{""respins_left"":""0"",""dice_score"":""0"",""turnTimeWhenPawnMoveReqReceived"":""-1"",""pawnNotMovableReason"":""unknown"",""turn_play_mode"":""time_out"",""pawnsMovable"":""yes"",""ludoBoardData"":""{\""upd\"":{\""ZL_rrCRuqDFACGpN\"":{\""pos\"":[27,35,48,1],\""score\"":[0,8,21,26],\""state\"":[\""NONE\"",\""NONE\"",\""NONE\"",\""NONE\""],\""safe\"":[true,true,true,true],\""totScore\"":55},\""Y15bPrZmGADQTnwF\"":{\""pos\"":[1,9,22,27],\""score\"":[0,8,21,26],\""state\"":[\""NONE\"",\""NONE\"",\""NONE\"",\""NONE\""],\""safe\"":[true,true,true,true],\""totScore\"":55}}}"",""turnTimeWhenPawnMovedRespSent"":""-1"",""tournament_id"":""ZMcI79oK51VNRMmu""}","{""upd"":{""ZL_rrCRuqDFACGpN"":{""pos"":[27,35,48,1],""score"":[0,8,21,26],""state"":[""NONE"",""NONE"",""NONE"",""NONE""],""safe"":[true,true,true,true],""totScore"":55},""Y15bPrZmGADQTnwF"":{""pos"":[1,9,22,27],""score"":[0,8,21,26],""state"":[""NONE"",""NONE"",""NONE"",""NONE""],""safe"":[true,true,true,true],""totScore"":55}}}",LUDO-a540c8f1-78ca-46da-8abd-faf6fa4a68da,"{""ZL_rrCRuqDFACGpN"":""55"",""Y15bPrZmGADQTnwF"":""55""}",5500,1690767729861
